"Country,Code,Continent,Religion,Status,Population,Labor_Force,GDP,Urbanization,Literacy,Population_Growth_Rate,Below_Poverty_Line,Median_Age,Life_Expectancy,Age"
"Ethiopia,ETH,Africa,Christianity,Poor,90873739,37900000,1000,0.17,0.43,0.03,0.39,17,56,<65"
"Finland,FIN,Europe,Christianity,Developed,5259250,2672000,35400,0.85,1,0,0,43,79,>=65"
"France,FRA,Europe,Christianity,Developed,65312249,29320000,33100,0.85,0.99,0.01,0.06,40,81,>=65"
"Gabon,GAB,Africa,Christianity,Developing,1576665,714500,14500,0.86,0.63,0.02,0.33,19,52,<65"
"United Kingdom,GBR,Europe,Christianity,Developed,62698362,31520000,34800,0.8,0.99,0.01,0.14,40,80,>=65"
"Ghana,GHA,Africa,Christianity,Poor,24791073,10560000,2500,0.51,0.58,0.02,0.29,21,61,<65"
"Guinea,GIN,Africa,Islam,Poor,10601009,4392000,1000,0.35,0.3,0.03,0.47,19,58,<65"
"Gambia,GMB,Africa,Islam,Poor,1797860,777100,1900,0.58,0.4,0.02,0.48,19,64,<65"
"Guinea-Bissau,GNB,Africa,Islam,Poor,1596677,632700,1100,0.3,0.42,0.02,0.49,20,49,<65"
"Equatorial Guinea,GNQ,Africa,Christianity,Developed,668225,195200,36600,0.4,0.87,0.03,0.16,19,62,<65"
"Greece,GRC,Europe,Christianity,Developed,10760136,5013000,29600,0.61,0.96,0,0.2,43,80,>=65"
"Guyana,GUY,South America,Christianity,Developing,744768,333900,7200,0.29,0.92,0,0,24,67,>=65"
"Hong Kong,HKG,Asia,Others,Developed,7122508,3676000,45900,1,0.94,0,0,43,82,>=65"
"Croatia,HRV,Europe,Christianity,Developing,4483804,1721000,17400,0.58,0.98,0,0.17,41,76,>=65"
"Hungary,HUN,Europe,Christianity,Developing,9976062,4230000,18800,0.68,0.99,0,0.14,40,75,>=65"
"Indonesia,IDN,Asia,Islam,Developing,245613043,116500000,4200,0.44,0.9,0.01,0.13,28,71,>=65"
"India,IND,Asia,Others,Developing,1189172906,478300000,3500,0.3,0.61,0.01,0.25,26,67,>=65"
"Ireland,IRL,Europe,Christianity,Developed,4670976,2140000,37300,0.62,0.99,0.01,0.06,35,80,>=65"
"Iran,IRN,Asia,Islam,Developing,77891220,25700000,10600,0.71,0.77,0.01,0.18,27,70,>=65"
"Iraq,IRQ,Asia,Islam,Poor,30399572,8500000,3800,0.66,0.74,0.02,0.25,21,71,>=65"
"Israel,ISR,Asia,Others,Developed,7473052,3147000,29800,0.92,0.97,0.02,0.24,29,81,>=65"
"Italy,ITA,Europe,Christianity,Developed,61016804,24990000,30500,0.68,0.98,0,0,44,82,>=65"
"Jordan,JOR,Asia,Islam,Developing,6508271,1719000,5400,0.79,0.9,0.01,0.14,22,80,>=65"
"Japan,JPN,Asia,Others,Developed,126475664,62970000,34000,0.67,0.99,0,0.16,45,82,>=65"
"Kazakhstan,KAZ,Asia,Islam,Developing,15522373,8611000,12700,0.59,1,0,0.08,30,69,>=65"
"Kenya,KEN,Africa,Christianity,Poor,41070934,17900000,1600,0.22,0.85,0.02,0.5,19,59,<65"
"Kyrgyzstan,KGZ,Asia,Islam,Poor,5587443,2344000,2200,0.35,0.99,0.01,0.4,25,70,>=65"
"Cambodia,KHM,Asia,Others,Poor,14701717,8800000,2100,0.2,0.74,0.02,0.31,23,63,<65"
"South Korea,KOR,Asia,Christianity,Developed,48754657,24750000,30000,0.83,0.98,0,0.15,38,79,>=65"
"Kuwait,KWT,Asia,Islam,Developed,2595628,2158000,48900,0.98,0.93,0.02,0,29,77,>=65"
"Laos,LAO,Asia,Others,Poor,6477211,3690000,2500,0.33,0.73,0.02,0.26,21,62,<65"
"Lebanon,LBN,Asia,Islam,Developing,4143101,1481000,14400,0.87,0.87,0,0.28,30,75,>=65"
"Liberia,LBR,Africa,Christianity,Poor,3786764,1372000,500,0.48,0.58,0.03,0.8,18,57,<65"
"Libya,LBY,Africa,Islam,Developing,6597960,1728000,14000,0.78,0.83,0.02,0.15,25,78,>=65"
"Sri Lanka,LKA,Asia,Others,Developing,21283913,8074000,5000,0.14,0.91,0.01,0.23,31,76,>=65"
"Lesotho,LSO,Africa,Christianity,Poor,1924886,854600,1700,0.27,0.85,0,0.49,23,52,<65"
"Lithuania,LTU,Europe,Christianity,Developing,3535547,1635000,16000,0.67,1,0,0.04,40,75,>=65"
"Luxembourg,LUX,Europe,Christianity,Developed,503302,205900,82600,0.85,1,0.01,0,39,80,>=65"
"Latvia,LVA,Europe,Christianity,Developing,2204708,1178000,14700,0.68,1,-0.01,0,41,73,>=65"
"Macau,MAC,Asia,Others,Developed,573003,330900,33000,1,0.91,0.01,0,36,84,>=65"
"Morocco,MAR,Africa,Islam,Developing,31968361,11440000,4800,0.58,0.52,0.01,0.15,27,76,>=65"
"Moldova,MDA,Europe,Christianity,Poor,4314377,1235000,2500,0.47,0.99,0,0.26,35,71,>=65"
"Madagascar,MDG,Africa,Others,Poor,21926221,9504000,900,0.3,0.69,0.03,0.5,18,64,<65"
"Mexico,MEX,North America,Christianity,Developing,113724226,46990000,13900,0.78,0.86,0.01,0.18,27,76,>=65"
"Macedonia,MKD,Europe,Christianity,Developing,2077328,938300,9700,0.59,0.96,0,0.29,36,75,>=65"
"Mali,MLI,Africa,Islam,Poor,14159904,3241000,1200,0.36,0.46,0.03,0.36,16,53,<65"
"Burma,MMR,Asia,Others,Poor,53999804,31680000,1400,0.34,0.9,0.01,0.33,27,65,>=65"
"Mongolia,MNG,Asia,Others,Poor,3133318,1068000,3600,0.62,0.98,0.01,0.36,26,68,>=65"
"Mozambique,MOZ,Africa,Christianity,Poor,22948858,9871000,1000,0.38,0.48,0.02,0.7,17,52,<65"
"Mauritania,MRT,Africa,Islam,Poor,3281634,1318000,2100,0.41,0.51,0.02,0.4,20,61,<65"
"Mauritius,MUS,Africa,Others,Developing,1303717,597300,14000,0.42,0.84,0.01,0.08,33,74,>=65"
"Malawi,MWI,Africa,Christianity,Poor,15879252,5747000,800,0.2,0.63,0.03,0.53,17,52,<65"
"Malaysia,MYS,Asia,Islam,Developing,28728607,11630000,14700,0.72,0.89,0.02,0.04,27,74,>=65"
"Niger,NER,Africa,Islam,Poor,16468886,4688000,700,0.17,0.29,0.04,0.63,15,53,<65"
"Nigeria,NGA,Africa,Islam,Poor,155215573,50480000,2500,0.5,0.68,0.02,0.7,19,48,<65"
"Netherlands,NLD,Europe,Christianity,Developed,16847007,7816000,40300,0.83,0.99,0,0.11,41,80,>=65"
"Norway,NOR,Europe,Christianity,Developed,4691849,2602000,54600,0.79,1,0,0,40,80,>=65"
"Nepal,NPL,Asia,Others,Poor,29391883,18000000,1200,0.19,0.49,0.02,0.25,22,66,>=65"
"New Zealand,NZL,Australia,Christianity,Developed,4290347,2333000,27700,0.86,0.99,0.01,0,37,81,>=65"
"Oman,OMN,Asia,Islam,Developing,3027959,968800,25600,0.73,0.81,0.02,0.09,24,74,>=65"
"Pakistan,PAK,Asia,Islam,Poor,187342721,55770000,2500,0.36,0.5,0.02,0.24,22,66,>=65"
"Peru,PER,South America,Christianity,Developing,29248943,10580000,9200,0.77,0.93,0.01,0.35,26,72,>=65"
"Philippines,PHL,Asia,Christianity,Poor,101833938,38900000,3500,0.49,0.93,0.02,0.33,23,72,>=65"
"Papua New Guinea,PNG,Australia,Christianity,Poor,6187591,3809000,2500,0.13,0.57,0.02,0.37,22,66,>=65"
"Poland,POL,Europe,Christianity,Developing,38441588,17660000,18800,0.61,1,0,0.17,39,76,>=65"
"North Korea,PRK,Asia,Others,Poor,24457492,12200000,1800,0.6,0.99,0.01,0.17,33,69,>=65"
"Paraguay,PRY,South America,Christianity,Developing,6459058,3033000,5200,0.61,0.94,0.01,0.19,25,76,>=65"
"Qatar,QAT,Asia,Islam,Developed,848016,1242000,179000,0.96,0.89,0.01,0,31,76,>=65"
"Romania,ROU,Europe,Christianity,Developing,21904551,9258000,11600,0.57,0.97,0,0.25,39,74,>=65"
"Russia,RUS,Europe,Christianity,Developing,138739892,75490000,15900,0.73,0.99,0,0.13,39,66,>=65"
"Rwanda,RWA,Africa,Christianity,Poor,11370425,4446000,1100,0.19,0.7,0.03,0.6,19,58,<65"
"Saudi Arabia,SAU,Asia,Islam,Developing,26131703,7337000,24200,0.82,0.79,0.02,0,25,74,>=65"
"Sudan,SDN,Africa,Islam,Poor,45047502,11920000,2300,0.4,0.61,0.02,0.4,19,55,<65"
"Senegal,SEN,Africa,Islam,Poor,12643799,5532000,1900,0.42,0.39,0.03,0.54,18,60,<65"
"Singapore,SGP,Asia,Others,Developed,4740737,3156000,62100,1,0.93,0.01,0,40,82,>=65"
"Sierra Leone,SLE,Africa,Islam,Poor,5363669,2207000,900,0.38,0.35,0.02,0.7,19,56,<65"
"Somalia,SOM,Africa,Islam,Poor,9925640,3447000,600,0.37,0.38,0.02,0.88,18,50,<65"
"Serbia,SRB,Europe,Christianity,Developing,7310555,3250000,10900,0.56,0.96,0,0.09,41,74,>=65"
"Slovakia,SVK,Europe,Christianity,Developing,5477038,2707000,22000,0.55,1,0,0.21,38,76,>=65"
"Slovenia,SVN,Europe,Christianity,Developed,2000092,935500,28200,0.5,1,0,0.12,42,77,>=65"
"Sweden,SWE,Europe,Christianity,Developed,9088728,4961000,39100,0.85,0.99,0,0,42,81,>=65"
"Swaziland,SWZ,Africa,Others,Developing,1370424,457900,4500,0.21,0.82,0.01,0.69,20,49,<65"
"Syria,SYR,Asia,Islam,Developing,22517750,5529000,4800,0.56,0.8,0.01,0.12,22,75,>=65"
"Chad,TCD,Africa,Islam,Poor,10758945,4293000,1600,0.28,0.26,0.02,0.8,17,48,<65"
"Togo,TGO,Africa,Christianity,Poor,6771993,2595000,900,0.43,0.61,0.03,0.32,19,63,<65"
"Thailand,THA,Asia,Others,Developing,66720153,38640000,8700,0.34,0.93,0.01,0.1,34,74,>=65"
"Tajikistan,TJK,Asia,Islam,Poor,7627200,2100000,2000,0.26,1,0.02,0.53,23,66,>=65"
"Turkmenistan,TKM,Asia,Islam,Developing,4997503,2300000,7500,0.5,0.99,0.01,0.3,25,69,>=65"
"Timor-Leste,TLS,Asia,Christianity,Poor,1177834,414200,2600,0.28,0.59,0.02,0.42,23,68,>=65"
"Tunisia,TUN,Africa,Islam,Developing,10629186,3769000,9400,0.67,0.74,0.01,0.04,30,75,>=65"
"Turkey,TUR,Asia,Islam,Developing,78785548,25640000,12300,0.7,0.87,0.01,0.17,29,73,>=65"
"Taiwan,TWN,Asia,Others,Developed,23071779,11070000,35700,0.9,0.96,0,0.01,38,78,>=65"
"Tanzania,TZA,Africa,Others,Poor,42746620,23390000,1400,0.26,0.69,0.02,0.36,19,53,<65"
"Uganda,UGA,Africa,Christianity,Poor,34612250,15510000,1300,0.13,0.67,0.04,0.35,15,53,<65"
"Ukraine,UKR,Europe,Christianity,Developing,45134707,22020000,6700,0.69,0.99,-0.01,0.35,40,69,>=65"
"Uruguay,URY,South America,Christianity,Developing,3308535,1637000,13700,0.92,0.98,0,0.21,34,76,>=65"
"Uzbekistan,UZB,Asia,Islam,Poor,28128600,16000000,3100,0.36,0.99,0.01,0.26,26,73,>=65"
"Venezuela,VEN,South America,Christianity,Developing,27635743,13110000,12700,0.93,0.93,0.01,0.38,26,74,>=65"
"Vietnam,VNM,Asia,Others,Poor,90549390,47370000,3100,0.3,0.94,0.01,0.11,28,72,>=65"
"Yemen,YEM,Asia,Islam,Poor,24133492,6832000,2700,0.32,0.5,0.03,0.45,18,64,<65"
"South Africa,ZAF,Africa,Christianity,Developing,49004031,17390000,10700,0.62,0.86,0,0.5,25,49,<65"
"Zambia,ZMB,Africa,Christianity,Poor,13881336,5460000,1500,0.36,0.81,0.03,0.64,17,52,<65"
"Zimbabwe,ZWE,Africa,Others,Poor,12084304,3848000,500,0.38,0.91,0.04,0.68,18,50,<65"
"Nambia,NAM,Africa,Christianity,Developing,2147585,789100,6900,0.38,0.85,0.01,0.56,22,52,<65"
"Democratic Republic of the Congo,COG,Africa,Christianity,Poor,71712867,33680000,300,0.35,0.67,0.03,0.71,17,55,<65"
"Republic of the Congo,COD,Africa,Christianity,Poor,4243929,1514000,4100,0.62,0.84,0.03,0.3,17,55,<65"
"Cote d'lvoire,CIV,Africa,Islam,Poor,21504162,8509,1800,0.51,0.49,0.02,0.42,20,57,<65"
"Brazil ,BRA,South America,Christianity,Developing,203429773,102200000,10800,0.87,0.89,0.01,0.26,29,73,>=65"
"Estonia ,EST,Europe,Christianity,Developing,1282963,686800,19100,0.69,1,-0.01,0.2,41,73,>=65"
"Gaza Strip,WBK,Asia,Islam,Poor,1657155,339000,2900,0.72,0.92,0.03,0.7,18,74,>=65"
"Czech,CZE,Europe,Christianity,Developing,10190213,5415000,25600,0.74,0.99,0,0,41,77,>=65"
"Georgia ,GEO,Asia,Christianity,Developing,4585874,1918000,4900,0.53,1,0,0.31,39,77,>=65"
"United States of America,USA,North America,Christianity,Developed,313232044,153900000,47200,0.81,0.99,0.01,0.15,37,78,>=65"
"Portugal ,PRT,Europe,Christianity,Developing,10760305,5581000,23000,0.61,0.93,0,0.18,40,79,>=65"
